,Eur,IOD,NAO,Nino34
1987-12,0.039,-1.26,0.044,-2.89
1988-01,-0.622,0.66,-0.442,1.34
1988-02,0.561,-1.07,-0.573,0.03
1988-03,0.005,0.89,-0.196,0.7
1988-04,0.131,0.81,-0.258,-0.0
1988-05,0.019,-2.31,-0.437,1.63
1988-06,-0.39,-0.6,-0.569,-1.74
1988-07,-0.008,-0.49,-0.826,-1.03
1988-08,-0.466,-1.18,-0.162,-1.44
1988-09,-0.143,1.33,-0.145,0.39
1988-10,0.866,1.84,-0.532,-0.64
1988-11,-0.296,-0.49,-0.144,0.45
1988-12,-0.188,0.8,-0.452,0.02
1989-01,0.191,0.8,-0.031,-1.95
1989-02,-0.511,1.43,-0.312,-0.87
1989-03,0.351,0.15,-0.03,-1.06
1989-04,-0.217,0.22,-0.429,0.32
1989-05,0.715,-0.19,-0.376,2.06
1989-06,-0.431,1.32,-0.441,1.66
1989-07,-0.212,1.1,-0.353,0.14
1989-08,-0.002,0.31,-0.018,2.27
1989-09,-0.649,0.78,-0.664,-0.8
1989-10,-0.031,0.78,-0.133,-2.02
1989-11,0.328,1.89,0.035,0.88
1989-12,0.075,-0.47,-0.431,-0.59
1990-01,-0.201,-2.16,-0.008,-1.77
1990-02,-0.03,-0.67,-0.386,-3.33
1990-03,0.103,0.81,-0.153,-4.13
1990-04,-0.397,0.98,-0.676,-1.88
1990-05,-0.48,2.23,-0.571,1.22
1990-06,-1.356,-1.36,-0.512,-0.07
1990-07,0.435,-1.39,-0.363,-2.26
1990-08,-0.472,-0.19,-0.807,1.34
1990-09,0.168,-2.21,-0.427,-0.69
1990-10,-0.011,1.47,-0.747,1.37
1990-11,-0.489,0.48,0.616,0.88
1990-12,-1.108,0.87,-0.168,-1.5
1991-01,0.085,-0.64,0.591,-3.68
1991-02,0.634,0.58,-0.868,-2.18
1991-03,0.612,-0.23,0.177,-0.45
1991-04,-0.89,2.01,-0.145,-1.97
1991-05,-0.412,0.23,0.318,-0.02
1991-06,-0.851,-0.89,-0.372,0.01
1991-07,-0.377,0.32,-0.04,-1.53
1991-08,-0.03,0.82,-0.478,-2.41
1991-09,0.085,-0.28,-0.469,1.31
1991-10,-0.122,0.95,0.487,-3.21
1991-11,0.76,1.67,-0.289,-0.36
1991-12,-0.652,1.74,-0.686,0.31
1992-01,0.097,1.11,-0.896,-1.13
1992-02,-0.755,0.45,-0.072,-1.47
1992-03,-0.745,0.83,0.404,1.36
1992-04,-1.008,-1.62,-0.343,-1.17
1992-05,0.013,1.81,-0.154,-1.11
1992-06,0.152,1.64,-0.498,-0.19
1992-07,-0.625,1.9,-0.447,2.39
1992-08,-1.207,0.79,0.783,-1.77
1992-09,-0.255,-1.4,-0.128,-0.93
1992-10,-0.945,1.14,-0.494,0.51
1992-11,-0.293,-0.75,-0.339,-1.56
1992-12,-0.671,0.96,0.111,-2.42
1993-01,-0.782,1.12,0.414,-1.69
1993-02,-0.263,1.27,-0.365,-1.68
1993-03,0.818,2.1,-0.253,-4.41
1993-04,-0.082,-0.11,-0.186,0.29
1993-05,0.313,-0.05,0.129,-3.44
1993-06,-0.533,-1.77,-0.467,-1.35
1993-07,0.13,-0.28,0.004,-0.49
1993-08,0.559,-2.02,0.867,1.62
1993-09,-1.412,-0.69,-0.207,0.01
1993-10,-0.354,0.54,-0.949,-0.14
1993-11,-0.684,0.87,1.033,1.01
1993-12,-0.185,-0.04,-0.584,-1.51
1994-01,-0.244,-0.55,-0.03,-0.83
1994-02,0.362,-0.63,0.017,0.79
1994-03,1.098,0.33,-0.291,-2.04
1994-04,0.466,-0.82,0.565,-3.72
1994-05,-0.001,0.96,-0.084,0.67
1994-06,-0.826,-0.64,0.155,-2.23
1994-07,-0.836,0.41,-0.276,-0.34
1994-08,0.255,1.15,0.736,-2.8
1994-09,0.551,0.09,0.227,-2.35
1994-10,-0.18,1.01,0.188,2.06
1994-11,0.797,0.19,0.147,-3.47
1994-12,0.535,1.43,-0.277,-3.38
1995-01,-0.393,0.44,0.516,1.19
1995-02,0.828,-0.27,0.27,4.34
1995-03,0.544,-0.06,-0.009,2.01
1995-04,0.125,-1.54,0.3,2.36
1995-05,0.121,0.16,0.642,-1.16
1995-06,0.65,0.74,-0.212,-0.76
1995-07,-0.672,1.26,0.175,0.55
1995-08,0.144,-0.19,0.844,-3.25
1995-09,0.521,0.21,1.123,2.7
1995-10,-0.229,-0.01,0.233,2.7
1995-11,-0.28,0.72,-0.278,1.9
1995-12,-0.72,0.95,-0.094,-1.53
1996-01,0.026,0.63,0.017,0.81
1996-02,-0.265,2.06,-0.229,-2.16
1996-03,-0.034,1.21,-0.48,1.96
1996-04,-0.08,-1.53,-0.767,1.92
1996-05,-0.054,1.31,-0.235,-0.55
1996-06,-0.117,-0.65,0.681,0.02
1996-07,-1.063,1.22,-0.338,-1.14
1996-08,0.014,0.16,-0.638,1.94
1996-09,0.154,-0.93,-0.43,0.65
1996-10,-0.372,-0.26,-0.253,-1.73
1996-11,-0.689,0.47,-0.254,-0.09
1996-12,0.472,-0.99,-0.236,1.04
1997-01,0.15,2.06,-0.351,0.07
1997-02,0.836,-0.18,-0.352,-0.25
1997-03,-0.722,-1.52,-0.561,0.7
1997-04,-0.381,0.91,-0.166,-0.41
1997-05,0.358,-0.54,-0.43,-0.21
1997-06,-0.818,0.76,-0.747,-1.97
1997-07,-0.383,-0.8,-0.783,-0.87
1997-08,0.662,0.97,-0.007,-0.05
1997-09,0.301,-0.29,-0.331,1.21
1997-10,0.357,0.29,-0.394,4.62
1997-11,-0.202,1.18,-0.152,-1.41
1997-12,-0.956,1.62,-0.358,-2.51
1998-01,-0.012,-1.75,0.163,-0.58
1998-02,-0.281,0.62,-0.781,1.98
1998-03,-0.382,0.05,-0.538,0.26
1998-04,0.815,-0.07,-0.314,-2.07
1998-05,-0.056,1.49,-0.073,1.48
1998-06,0.083,-0.24,-0.618,-1.22
1998-07,-0.227,-1.15,0.076,-0.05
1998-08,-0.698,-2.0,-0.505,-1.97
1998-09,0.011,-0.14,-0.229,-0.21
1998-10,0.133,-1.18,-0.313,-2.6
1998-11,-1.009,-3.44,-0.671,0.12
1998-12,-0.083,-0.49,-0.265,-1.25
1999-01,0.03,-0.47,-0.384,1.68
1999-02,0.153,0.11,-0.301,2.15
1999-03,-0.92,-1.35,-0.559,1.44
1999-04,0.114,0.29,-0.106,2.78
1999-05,-0.136,-1.6,-0.611,0.98
1999-06,1.278,0.8,-0.117,-2.97
1999-07,-0.743,1.76,-0.434,-1.22
1999-08,0.586,0.29,-0.104,1.13
1999-09,-0.099,-0.03,-0.583,-0.17
1999-10,-0.046,-0.08,-0.774,-1.56
1999-11,0.313,-1.06,0.318,3.24
